Nr;Regular;Triangulation;GKZ;Neighbors;regular Neighbors;non-regular Neighbors;F-Vector
3285;0;{0 2 3 11 15}{0 1 5 13 15}{0 2 3 7 15}{0 2 6 7 15}{0 1 3 7 15}{0 1 5 7 15}{0 2 10 11 15}{0 1 9 13 15}{0 9 12 13 15}{0 5 6 7 15}{0 10 12 14 15}{0 5 12 13 15}{0 6 10 14 15}{0 2 6 10 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};24 5 5 5 2 8 6 5 2 6 6 7 9 4 6 20;11;1;10;16 65 110 84 24
3286;0;{0 2 3 11 15}{0 2 3 7 15}{0 2 6 7 15}{0 1 3 7 15}{0 1 5 7 15}{0 2 10 11 15}{0 5 6 7 15}{0 10 12 14 15}{0 6 10 14 15}{0 2 6 10 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 7 5 5 2 8 6 5 2 6 6 7 11 2 6 20;11;1;10;16 65 110 84 24
3292;0;{0 2 3 11 15}{0 2 3 7 15}{0 2 6 7 15}{0 1 3 7 15}{0 1 5 7 15}{0 2 10 11 15}{0 5 6 7 15}{0 10 12 14 15}{0 6 10 14 15}{0 2 6 10 15}{5 9 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{0 1 5 12 15}{1 5 9 12 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 6 5 5 2 9 6 5 2 7 6 7 11 1 6 20;11;1;10;16 64 107 81 23
3297;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 15}{0 2 10 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 6 5 6 2 9 8 2 2 7 5 7 9 3 7 20;12;1;11;16 65 110 84 24
3299;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 15}{0 2 10 14 15}{0 10 12 14 15}{0 2 3 6 15}{5 9 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{0 5 9 12 15};21 6 5 6 2 10 8 2 2 8 5 7 10 1 7 20;12;1;11;16 64 107 81 23
3358;0;{0 2 3 11 15}{0 2 3 7 15}{0 2 6 7 15}{0 2 10 11 15}{0 5 6 7 15}{0 10 12 14 15}{0 6 10 14 15}{0 2 6 10 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 6 5 6 2 9 6 4 2 6 6 7 11 2 6 20;12;2;10;16 65 110 84 24
3360;0;{0 1 3 11 15}{0 1 9 11 15}{0 9 12 13 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 4 6 12 13}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{2 6 12 14 15}{0 2 6 12 15}{2 10 12 14 15}{0 2 10 12 15};20 7 6 6 2 6 11 2 2 6 6 7 11 6 2 20;11;2;9;16 65 110 84 24
3370;0;{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 6 10 14 15}{0 2 6 10 15}{0 1 3 5 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{2 5 6 7 15}{0 2 5 6 15}{2 3 5 7 15}{0 2 3 5 15};20 6 6 7 2 11 6 2 2 6 7 6 11 2 6 20;11;2;9;16 65 110 84 24
3375;0;{0 2 3 11 15}{0 2 6 14 15}{0 1 5 13 15}{0 2 10 11 15}{0 2 10 14 15}{0 1 9 13 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{3 5 6 7 15}{1 3 5 6 15};22 6 5 7 2 9 8 1 2 6 5 7 9 4 7 20;12;2;10;16 64 107 81 23
3383;0;{0 2 3 11 15}{0 1 5 13 15}{0 2 10 11 15}{0 1 9 13 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 6 10 14 15}{0 2 6 10 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{3 5 6 7 15}{1 3 5 6 15};22 6 4 7 2 9 9 1 2 6 6 7 9 4 6 20;12;1;11;16 65 110 84 24
3389;0;{0 1 3 11 15}{0 1 3 7 15}{0 1 5 7 15}{0 1 9 11 15}{0 9 12 13 15}{0 5 6 7 15}{0 10 12 14 15}{0 3 10 11 15}{0 3 6 7 15}{0 6 12 14 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 4 6 12 13}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15};24 5 2 8 2 6 9 4 2 6 6 7 9 6 6 18;11;1;10;16 65 110 84 24
3390;0;{0 1 3 11 15}{0 1 9 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 6 12 14 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 4 6 12 13}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15};22 7 2 8 2 6 11 2 2 6 6 7 9 6 6 18;11;1;10;16 65 110 84 24
3397;0;{0 4 6 7 12}{0 4 5 7 12}{0 10 12 14 15}{0 5 12 13 15}{0 3 6 7 15}{0 6 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{0 8 10 12 13}{0 8 9 10 13}{0 10 12 13 15}{0 9 10 13 15}{0 1 5 9 15}{0 5 9 13 15}{0 6 7 12 15}{0 5 7 12 15}{1 9 10 11 15}{0 1 9 10 15}{1 3 10 11 15}{0 1 3 10 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15};22 6 2 9 2 7 6 6 2 6 11 2 9 6 6 18;11;1;10;16 65 110 84 24
3407;0;{0 1 3 11 15}{0 1 9 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 6 12 14 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 1 3 6 15}{0 1 5 6 15}{0 4 6 12 13}{0 4 5 6 13}{0 5 6 13 15}{0 6 12 13 15}{3 5 6 7 15}{1 3 5 6 15}{0 2 3 10 14}{0 3 10 14 15}{0 2 3 6 14}{0 3 6 14 15};22 6 2 9 2 7 11 1 2 6 6 7 9 6 6 18;11;1;10;16 64 107 81 23
3425;0;{0 2 3 11 15}{0 2 3 7 15}{0 2 6 7 15}{0 2 10 11 15}{0 5 6 7 15}{0 10 12 14 15}{0 6 10 14 15}{0 2 6 10 15}{5 9 12 13 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{0 1 5 12 15}{1 5 9 12 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 5 5 6 2 10 6 4 2 7 6 7 11 1 6 20;12;2;10;16 64 107 81 23
3442;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 15}{0 2 10 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{3 5 6 7 15}{1 3 5 6 15};22 5 5 7 2 10 8 1 2 7 5 7 9 3 7 20;12;2;10;16 63 104 78 22
3450;0;{0 2 3 11 15}{0 2 10 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 6 10 14 15}{0 2 6 10 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14}{3 5 6 7 15}{1 3 5 6 15};22 5 4 7 2 10 9 1 2 7 6 7 9 3 6 20;12;1;11;16 63 104 78 22
3513;0;{0 2 3 11 15}{0 2 6 14 15}{0 1 5 13 15}{0 2 10 11 15}{0 2 10 14 15}{0 1 9 13 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};22 7 5 6 2 8 8 2 2 6 5 7 9 4 7 20;12;1;11;16 65 110 84 24
3514;0;{0 2 3 11 15}{0 2 6 14 15}{0 2 10 11 15}{0 2 10 14 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 8 10 11 12}{0 8 9 11 12}{0 10 11 12 15}{0 9 11 12 15}{1 5 12 13 15}{1 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{1 5 6 7 15}{1 3 6 7 15}{0 1 3 6 15}{0 1 5 6 15}{0 5 12 14 15}{0 4 5 12 14}{0 5 6 14 15}{0 4 5 6 14};20 9 5 6 2 8 8 2 2 6 5 7 11 2 7 20;12;1;11;16 65 110 84 24
