Nr;Regular;Triangulation;GKZ;Neighbors;regular Neighbors;non-regular Neighbors;F-Vector
19641;0;{0 1 5 7 15}{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 1 3 7 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};24 5 5 5 2 8 6 5 1 7 7 6 9 4 6 20;11;1;10;16 65 110 84 24
19642;0;{0 1 5 7 15}{0 2 3 11 15}{0 1 3 7 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 10 12 14 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 7 5 5 2 8 6 5 1 7 7 6 11 2 6 20;11;1;10;16 65 110 84 24
19648;0;{0 1 5 7 15}{0 2 3 11 15}{0 1 3 7 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 10 12 14 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{5 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15};22 6 5 5 2 9 6 5 1 8 7 6 11 1 6 20;11;1;10;16 64 107 81 23
19653;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 6 5 6 2 9 8 2 1 8 6 6 9 3 7 20;12;1;11;16 65 110 84 24
19655;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{5 9 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 5 9 12 15};21 6 5 6 2 10 8 2 1 9 6 6 10 1 7 20;12;1;11;16 64 107 81 23
19657;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{5 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15};20 8 5 6 2 9 8 2 1 8 6 6 11 1 7 20;12;1;11;16 65 110 84 24
19736;0;{0 2 3 11 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 10 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 6 5 6 2 9 6 4 1 7 7 6 11 2 6 20;12;2;10;16 65 110 84 24
19738;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 6 13 15}{0 4 5 6 13}{0 4 6 12 13}{0 6 12 13 15}{0 2 6 12 15}{2 6 12 14 15}{0 2 10 12 15}{2 10 12 14 15};20 7 6 6 2 6 11 2 1 7 7 6 11 6 2 20;11;2;9;16 65 110 84 24
19748;0;{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 1 3 5 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 2 5 6 15}{0 2 3 5 15}{2 3 5 7 15}{2 5 6 7 15};20 6 6 7 2 11 6 2 1 7 8 5 11 2 6 20;11;2;9;16 65 110 84 24
19753;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};22 6 5 7 2 9 8 1 1 7 6 6 9 4 7 20;12;2;10;16 64 107 81 23
19754;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};20 8 5 7 2 9 8 1 1 7 6 6 11 2 7 20;12;2;10;16 65 110 84 24
19764;0;{0 2 3 11 15}{0 2 10 11 15}{0 10 12 14 15}{0 1 3 5 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{0 2 5 6 15}{0 2 3 5 15}{2 3 5 6 15};20 6 6 7 2 11 7 1 1 7 7 6 11 2 6 20;11;2;9;16 65 110 84 24
19765;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 2 10 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};22 6 4 7 2 9 9 1 1 7 7 6 9 4 6 20;12;1;11;16 65 110 84 24
19766;0;{0 2 3 11 15}{0 2 10 11 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};20 8 4 7 2 9 9 1 1 7 7 6 11 2 6 20;12;1;11;16 65 110 84 24
19772;0;{0 1 9 11 15}{0 1 5 7 15}{0 1 3 11 15}{0 1 3 7 15}{0 5 6 7 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 3 6 7 15}{0 6 12 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 9 10 11 12}{0 5 6 13 15}{0 4 5 6 13}{0 4 6 12 13}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 3 10 14 15}{0 2 3 10 14};24 5 2 8 2 6 9 4 1 7 7 6 9 6 6 18;11;1;10;16 65 110 84 24
19773;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 6 12 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 6 13 15}{0 4 5 6 13}{0 4 6 12 13}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 3 10 14 15}{0 2 3 10 14};22 7 2 8 2 6 11 2 1 7 7 6 9 6 6 18;11;1;10;16 65 110 84 24
19780;0;{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 6 12 14 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 6 13 15}{0 4 5 6 13}{0 4 6 12 13}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 3 10 14 15}{0 2 3 10 14};22 6 2 9 2 6 11 2 1 8 7 5 9 6 6 18;11;1;10;16 65 110 84 24
19789;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 6 12 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 6 13 15}{0 4 5 6 13}{0 4 6 12 13}{0 6 12 13 15}{0 2 3 6 14}{0 3 6 14 15}{0 3 10 14 15}{0 2 3 10 14}{1 3 5 6 15};22 6 2 9 2 7 11 1 1 7 7 6 9 6 6 18;11;1;10;16 64 107 81 23
19808;0;{0 2 3 11 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 10 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{5 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15};22 5 5 6 2 10 6 4 1 8 7 6 11 1 6 20;12;2;10;16 64 107 81 23
19827;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};22 5 5 7 2 10 8 1 1 8 6 6 9 3 7 20;12;2;10;16 63 104 78 22
19837;0;{0 2 3 11 15}{0 2 10 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};22 5 4 7 2 10 9 1 1 8 7 6 9 3 6 20;12;1;11;16 63 104 78 22
19913;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 7 5 6 2 8 8 2 1 7 6 6 9 4 7 20;12;1;11;16 65 110 84 24
19914;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};20 9 5 6 2 8 8 2 1 7 6 6 11 2 7 20;12;1;11;16 65 110 84 24
19944;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 2 10 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 7 4 6 2 8 9 2 1 7 7 6 9 4 6 20;12;1;11;16 65 110 84 24
19945;0;{0 2 3 11 15}{0 2 10 11 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};20 9 4 6 2 8 9 2 1 7 7 6 11 2 6 20;12;1;11;16 65 110 84 24
19947;0;{0 2 3 11 15}{0 2 10 11 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 6 4 6 2 9 9 2 1 8 7 6 9 3 6 20;12;1;11;16 65 110 84 24
19949;0;{0 2 3 11 15}{0 2 10 11 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{5 9 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{0 5 9 12 15};21 6 4 6 2 10 9 2 1 9 7 6 10 1 6 20;12;1;11;16 64 107 81 23
19984;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 10 14 15}{0 2 6 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};22 7 4 7 2 8 8 2 1 7 7 5 9 4 7 20;12;1;11;16 65 110 84 24
19985;0;{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14};20 9 4 7 2 8 8 2 1 7 7 5 11 2 7 20;12;1;11;16 65 110 84 24
19991;0;{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{5 9 12 13 15}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 4 5 12 14}{1 5 9 12 15};20 8 4 7 2 9 8 2 1 8 7 5 11 1 7 20;12;1;11;16 65 110 84 24
20025;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 10 14 15}{0 2 6 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};22 6 4 8 2 9 8 1 1 7 7 5 9 4 7 20;12;2;10;16 65 110 84 24
20026;0;{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 4 5 6 14}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 4 5 12 14}{1 3 5 6 15};20 8 4 8 2 9 8 1 1 7 7 5 11 2 7 20;12;2;10;16 65 110 84 24
20244;0;{0 1 5 7 15}{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 1 3 7 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{0 5 6 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 9 10 11 12}{0 5 12 14 15};24 5 5 5 1 8 7 5 1 7 7 6 10 4 5 20;11;2;9;16 65 110 84 24
20245;0;{0 1 5 7 15}{0 2 3 11 15}{0 1 3 7 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 10 12 14 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{0 5 6 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 9 10 11 12}{0 5 12 14 15};22 7 5 5 1 8 7 5 1 7 7 6 12 2 5 20;11;1;10;16 65 110 84 24
20251;0;{0 1 5 7 15}{0 2 3 11 15}{0 1 3 7 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 10 12 14 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{5 9 12 13 15}{0 5 6 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{0 9 10 11 12}{0 5 12 14 15}{1 5 9 12 15};22 6 5 5 1 9 7 5 1 8 7 6 12 1 5 20;11;1;10;16 64 107 81 23
20256;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 4 5 6 12}{0 5 6 12 14}{0 8 9 10 12}{0 5 6 14 15}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15};22 6 5 6 1 9 9 2 1 8 6 6 10 3 6 20;12;2;10;16 65 110 84 24
20258;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 4 5 6 12}{5 9 12 13 15}{0 5 6 12 14}{0 8 9 10 12}{0 5 6 14 15}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{0 5 9 12 15};21 6 5 6 1 10 9 2 1 9 6 6 11 1 6 20;12;2;10;16 64 107 81 23
20260;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{5 9 12 13 15}{0 5 6 12 14}{0 1 9 12 15}{0 1 5 12 15}{0 8 9 10 12}{0 5 6 14 15}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 12 14 15}{1 5 9 12 15};20 8 5 6 1 9 9 2 1 8 6 6 12 1 6 20;12;2;10;16 65 110 84 24
20512;0;{0 2 3 11 15}{0 2 3 7 15}{0 2 10 11 15}{0 2 6 7 15}{0 5 6 7 15}{0 10 12 14 15}{0 1 3 5 15}{0 3 5 7 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{0 5 6 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 9 10 11 12}{0 5 12 14 15};22 6 5 6 1 9 7 4 1 7 7 6 12 2 5 20;12;2;10;16 65 110 84 24
20514;0;{0 1 9 11 15}{0 1 3 11 15}{0 9 12 13 15}{0 3 10 11 15}{0 2 3 10 15}{0 2 3 6 15}{0 10 11 12 15}{0 9 11 12 15}{0 1 5 9 15}{0 5 9 13 15}{0 4 5 6 12}{0 8 9 10 12}{1 5 6 7 15}{0 1 5 6 15}{1 3 6 7 15}{0 1 3 6 15}{0 9 10 11 12}{0 5 6 13 15}{0 6 12 13 15}{0 2 6 12 15}{2 6 12 14 15}{0 2 10 12 15}{2 10 12 14 15}{0 5 6 12 13};20 7 6 6 1 7 11 2 1 7 7 6 12 5 2 20;11;2;9;16 65 110 84 24
20525;0;{0 10 12 14 15}{0 3 10 11 15}{0 2 3 10 15}{0 1 3 5 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{0 5 6 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 9 10 11 12}{0 5 12 14 15}{0 2 5 6 15}{0 2 3 5 15}{2 3 5 7 15}{2 5 6 7 15};20 6 6 7 1 11 7 2 1 7 8 5 12 2 5 20;11;2;9;16 65 110 84 24
20530;0;{0 1 9 13 15}{0 1 5 13 15}{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 9 12 13 15}{0 10 12 14 15}{0 5 12 13 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{0 5 6 12 14}{0 8 9 10 12}{0 5 6 14 15}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{1 3 5 6 15};22 6 5 7 1 9 9 1 1 7 6 6 10 4 6 20;12;3;9;16 64 107 81 23
20531;0;{0 2 3 11 15}{0 2 10 11 15}{0 2 10 14 15}{0 2 6 14 15}{0 10 12 14 15}{0 2 3 6 15}{0 3 9 11 15}{0 1 3 9 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{0 5 6 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 1 5 6 15}{0 1 3 6 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{1 3 5 6 15};20 8 5 7 1 9 9 1 1 7 6 6 12 2 6 20;12;3;9;16 65 110 84 24
20542;0;{0 2 3 11 15}{0 2 10 11 15}{0 10 12 14 15}{0 1 3 5 15}{0 3 9 11 15}{0 1 3 9 15}{0 2 6 10 15}{0 6 10 14 15}{0 10 11 12 15}{0 9 11 12 15}{0 4 5 6 12}{0 5 6 12 14}{0 1 9 12 15}{1 9 12 13 15}{0 1 5 12 15}{1 5 12 13 15}{0 8 9 10 12}{0 5 6 14 15}{0 9 10 11 12}{3 5 6 7 15}{0 5 12 14 15}{0 2 5 6 15}{0 2 3 5 15}{2 3 5 6 15};20 6 6 7 1 11 8 1 1 7 7 6 12 2 5 20;11;2;9;16 65 110 84 24
